frame_id,centor_x,centor_y,width,height,area,avg,std,max_gauss,min_gauss,strong_gauss,week_gauss,complexity,num_of_magnetic_neural_lines,total_length_of_magnetic_neural_lines,complexity_of_magnetic_neural_lines
67,249,179,72,65,4680,3.433814103,212.717923,1674.775,-1887.025,259,4421,0.286538462,20,235.5,0.16517094
67,454,350,28,30,840,6.174494048,78.20179386,951.125,-613.125,18,822,0.295238095,7,34.5,0.171428571
67,462,149,42,45,1890,13.60435185,114.383284,1070.8,-1083.475,73,1817,0.238095238,10,92.5,0.187830688
68,97,317,33,30,990,-4.136388889,84.20997332,681.75,-518.725,22,968,0.271717172,8,21.5,0.106060606
68,183,149,60,42,2520,9.630505952,152.5430696,1148.025,-1379.225,122,2398,0.28968254,12,260,0.166666667
68,300,188,73,53,3869,4.630744378,234.2553305,1574.7,-1589.85,283,3586,0.275264926,24,334,0.203928664
68,468,357,26,26,676,-0.317381657,93.47197169,534.425,-815.7,17,659,0.300295858,4,22.5,0.159763314
69,137,320,69,42,2898,1.839320221,81.23994252,623.55,-648.15,79,2819,0.298826777,15,323.5,0.213940649
69,230,308,29,29,841,-19.9741082,63.10466398,77.85,-656.75,0,841,0.294887039,4,24.5,0.089179548
69,238,148,79,45,3555,3.261462729,134.6414758,1233.375,-1380,122,3433,0.280731364,24,174,0.188185654
69,352,187,67,54,3618,2.933409342,224.0246751,1471.925,-1552.075,258,3360,0.275566611,21,253,0.1973466
70,182,308,46,32,1472,-8.043019701,98.30530924,717.1,-795,32,1440,0.269701087,7,109,0.143342391
70,281,312,25,25,625,-26.65712,77.60047956,107.1,-876.575,0,625,0.3328,3,35.5,0.0864
70,284,147,72,47,3384,6.773441194,142.8588789,988.325,-1305.3,144,3240,0.281914894,20,214.5,0.182624113
70,398,193,62,46,2852,2.885036816,212.3948779,1217.625,-1254.425,208,2644,0.26227209,20,207,0.207223001
71,195,326,24,25,600,-26.199625,65.6093435,20.825,-502.925,0,600,0.291666667,2,11,0.076666667
71,224,195,26,25,650,-8.936,78.62418716,563.95,-1018.725,4,646,0.332307692,6,30,0.146153846
71,227,304,37,35,1295,-21.00279923,97.71811464,662.075,-844.075,19,1276,0.271042471,10,39,0.125868726
71,253,323,43,26,1118,24.40060376,79.59023065,627.625,-546.325,46,1072,0.278175313,7,46.5,0.147584973
71,336,147,78,55,4290,5.668799534,131.6783606,852.625,-1143.55,167,4123,0.278787879,33,296,0.2
71,438,197,53,45,2385,0.557169811,179.8915022,1183.625,-1106.15,150,2235,0.257861635,19,124.5,0.189937107
72,91,184,31,27,837,-27.58978495,85.8416441,458.45,-905.9,2,835,0.270011947,6,29.5,0.151732378
72,241,327,27,26,702,-23.43319088,65.71425223,54.375,-555.625,0,702,0.289173789,5,37.5,0.175213675
72,272,303,54,36,1944,-17.78626543,75.93229768,485.375,-652.125,18,1926,0.28909465,12,47.5,0.118312757
72,312,323,26,27,702,33.73287037,78.52612911,617.725,-70.925,38,664,0.277777778,4,17.5,0.122507123
72,381,153,72,51,3672,5.015345861,123.4729345,831.075,-1040.5,129,3543,0.276143791,22,213,0.159858388
72,468,205,42,41,1722,1.416332753,141.7402324,968.675,-1129.3,81,1641,0.280487805,11,71.5,0.184088269
